Comment,Designator,Footprint,LCSC Part Number,Quantity,Manufacturer,Manufacturer Part,Description
10uF Capacitor,C1,0805,C15850,1,Samsung,CL21A106KAYNNNE,10uF 25V X5R - LDO Input (Basic)
10uF Capacitor,C2,0805,C15850,1,Samsung,CL21A106KAYNNNE,10uF 25V X5R - LDO Output (Basic)
100nF Capacitor,C3,0603,C14663,1,YAGEO,CC0603KRX7R9BB104,100nF 50V X7R - LDO Decoupling
100nF Capacitor,C6,0603,C14663,1,YAGEO,CC0603KRX7R9BB104,100nF 50V X7R - J4 GPS VCC
100nF Capacitor,C7,0603,C14663,1,YAGEO,CC0603KRX7R9BB104,100nF 50V X7R - SD Card
4.7uF Capacitor,C10,0805,C1779,1,Samsung,CL21A475KAQNNNE,4.7uF 25V X5R - Bulk (Basic)
1uF Capacitor,C13,0805,C28323,1,Samsung,CL21B105KBFNNNE,1uF 50V X7R - VBAT ADC Buffer (Basic)
100nF Capacitor,C20,0603,-,1,YAGEO,CC0603KRX7R9BB104,100nF - PDM Mic VDD Decoupling (solder at mic end of cable)
MicroSD Socket,J1,SMD,C113206,1,SOFNG,TF-015,Push-Push MicroSD Card Socket
Battery Connector,J2,SMT,C295747,1,JST,S2B-PH-SM4-TB(LF)(SN),2-Pin JST PH 2.0mm SMT
USB-C Mic Connector,J3,USB-C 16P SMD,C165948,1,SHOU HAN,TYPE-C-31-M-12,USB-C Receptacle for PDM Mic Cable
GPS Connector,J4,SMD 1.25mm 8P,C3029401,1,XUNPU,WAFER-MX1.25-8PZZ,8-Pin 1.25mm Vertical GPS Connector
SHT30 Module Connector,J5,4-pin header,-,1,-,Generic 4-pin header,4-Pin Header for External SHT30 Module (optional)
PDM Digital Microphone,MIC1,LLGA-5-3,-,1,Infineon,IM72D128V01 or IM73D122V01,PDM MEMS Mic 72-73dB SNR IP57 (on cable end)
1M Resistor,R2,0603,C22935,1,UNI-ROYAL,0603WAF1004T5E,1MOhm 1% 0603 - VBAT Divider High
1M Resistor,R3,0603,C22935,1,UNI-ROYAL,0603WAF1004T5E,1MOhm 1% 0603 - VBAT Divider Low
4.7k Resistor,R4,0603,C23162,1,UNI-ROYAL,0603WAF4701T5E,4.7kOhm 1% 0603 - I2C SDA Pull-up (only if J5 SHT30 used)
4.7k Resistor,R5,0603,C23162,1,UNI-ROYAL,0603WAF4701T5E,4.7kOhm 1% 0603 - I2C SCL Pull-up (only if J5 SHT30 used)
4.7k Resistor,R6,0603,C23162,1,UNI-ROYAL,0603WAF4701T5E,4.7kOhm 1% 0603 - SD Card Detect Pull-up
10k Resistor,R7,0603,C25804,1,UNI-ROYAL,0603WAF1002T5E,10kOhm 1% 0603 - GPS P-FET Gate Pull-up (Basic)
10k Resistor,R8,0603,C25804,1,UNI-ROYAL,0603WAF1002T5E,10kOhm 1% 0603 - Q2 Base Resistor (Basic)
10k Resistor,R9,0603,C25804,1,UNI-ROYAL,0603WAF1002T5E,10kOhm 1% 0603 - Q3 Base Resistor (Basic)
100R Resistor,R10,0603,C22775,1,UNI-ROYAL,0603WAF1000T5E,100Ohm 1% 0603 - PDM DATA Termination (optional)
P-Channel MOSFET,Q1,SOT-23,C10487,1,Vishay,SI2301CDS-T1-GE3,P-FET -20V -2.3A - GPS VCC Power Switch (Basic)
NPN Transistor,Q2,SOT-23,C20526,1,CJ,MMBT3904,NPN 200mA 40V - GPS PWR_EN Control (Basic)
NPN Transistor,Q3,SOT-23,C20526,1,CJ,MMBT3904,NPN 200mA 40V - GPS WAKEUP Control (Basic)
3.3V LDO Regulator,U2,TSOP-5,C510641,1,onsemi,NCP170ASN330T2G,3.3V 150mA Ultra-Low Iq (500nA) LDO
ESP32 Module,U3,NODEMCU-32SLUA,-,1,-,ESP32-DevKitC-32E,38-pin module (hand soldered)
